longitude,latitude,event_id
-78.46753874,-5.732122294,1
-78.81145467,-5.40906199,2
-78.65406682,-5.650239972,3
-78.75354756,-5.65623399,4
-78.55389616,-5.759910391,5
-78.82053807,-5.578703031,6
-78.79792041,-5.578675659,7
-78.82731863,-5.57515832,8
-78.7097498,-5.658116429,9
-78.55606256,-5.75851741,10
-78.56102037,-5.769332629,11
-78.82766068,-5.564656929,12
-78.8241159,-5.525059396,13
-78.65999479,-5.649403929,14
-78.82425025,-5.561285254,15
-78.81711425,-5.575620409,16
-78.78961924,-5.583887854,17
-78.76263354,-5.39058723,18
-78.82142957,-5.576624484,19
-78.79955482,-5.581295115,20
-78.70975133,-5.658090844,21
-78.7039407,-5.655594272,22
-78.68654598,-5.656990694,23
-78.71674899,-5.652634964,24
-78.78683545,-5.705822625,25
-78.68415339,-5.681915381,26
-78.69933575,-5.651937593,27
-78.64944421,-5.640266756,28
-78.68627273,-5.6597676,29
-78.67882246,-5.675117806,30
-78.66144002,-5.64774468,31
-78.69337761,-5.654279965,32
-78.69333901,-5.653647245,33
-78.47162757,-5.702765688,34
-78.77256619,-5.67574256,35
-74.28094156,-7.160987153,36
-78.80883258,-5.473903311,37
-78.46891791,-5.732033855,38
-78.82810995,-5.577527113,39
-78.82446267,-5.530258022,40
-78.8213652,-5.555598011,41
-78.76766972,-5.669155533,42
-78.81547406,-5.570613041,43
-78.81058238,-5.566426517,44
-78.83398603,-5.57005156,45
-78.75025789,-5.653766941,46
-78.78340792,-5.386834046,47
-78.70372888,-5.653947859,48
-78.80530883,-5.575529982,49
-78.49234207,-5.663229319,50
-78.6634343,-5.640719054,51
-78.79389267,-5.68454797,52
-78.72830763,-5.650530323,53
-78.83366736,-5.57201244,54
-78.79640289,-5.578795129,55
-78.54732893,-5.702104174,56
-78.6495141,-5.640457271,57
-78.81659855,-5.575183317,58
-78.67443413,-5.670310914,59
-78.82147928,-5.579866573,60
-78.79226826,-5.363221569,61
-78.82069831,-5.379057203,62
-78.84842927,-5.355850824,63
-78.84317826,-5.447395856,64
-78.65189309,-5.647728995,65
-78.8203064,-5.588492692,66
-78.82652327,-5.384428058,67
-78.83546088,-5.414357523,68
-78.78232267,-5.707335576,69
-78.5751651,-5.594533766,70
-78.48586576,-5.675063176,71
-78.47165323,-5.702801387,72
-78.51540124,-5.685521778,73
-78.51533771,-5.68557194,74
-78.59073666,-5.598944638,75
-78.49620866,-5.713416867,76
-78.31267789,-5.757701439,77
-78.54596337,-5.747391558,78
-78.23540278,-5.794906252,79
-78.23574141,-5.808648536,80
-78.56194591,-5.776282509,81
-78.54191078,-5.740374327,82
-78.56187185,-5.776298725,83
-78.44412122,-5.747822577,84
-78.26334799,-5.80513082,85
-78.30876235,-5.81749171,86
-78.5206502,-5.637003012,87
-78.54537625,-5.747172744,88
-78.28027647,-5.794215109,89
-78.32143731,-5.784589728,90
-78.68367594,-5.682225299,91
-78.81343878,-5.40729924,92
-78.78972251,-5.372915954,93
-78.80298804,-5.32670218,94
-78.4806091,-5.687860038,95
-78.79271518,-5.68904258,96
-78.80378097,-5.544639494,97
-78.70772503,-5.658421021,98
-78.42849879,-5.740323572,99
-78.55120692,-5.753770036,100
-78.34530361,-5.758655824,101
-78.53441303,-5.634740019,102
-78.78806759,-5.707319587,103
-78.78932554,-5.364023376,104
-78.53429892,-5.634647473,105
-78.65212257,-5.638301906,106
-78.65063692,-5.643833006,107
-78.64791747,-5.640123112,108
-78.59619519,-5.613483455,109
-78.78797371,-5.706933929,110
-78.79771085,-5.580924386,111
-78.81904443,-5.550680514,112
-78.81052841,-5.584252239,113
-78.82669215,-5.523442422,114
-78.46262321,-5.72286098,115
-78.81297651,-5.54357481,116
-78.57521223,-5.594436312,117
-78.49618599,-5.713611072,118
-78.81756887,-5.337643637,119
-78.80798299,-5.375352711,120
-78.56122023,-5.769546156,121
-78.27465557,-5.806905711,122
-78.7646234,-5.380324333,123
-78.77255704,-5.660970377,124
-78.55275945,-5.757489426,125
-78.74666592,-5.652728793,126
-78.81199481,-5.569088234,127
-78.5612753,-5.7693017,128
-78.77184693,-5.385916442,129
-78.81068565,-5.55046266,130
-78.57437426,-5.597048042,131
-78.76886096,-5.368677308,132
-78.82384253,-5.553796976,133
-78.79851982,-5.581897419,134
-78.27384386,-5.795234144,135
-78.55042732,-5.75278666,136
-78.82441947,-5.522886312,137
-78.24860394,-5.795017328,138
-78.74931905,-5.653007313,139
-78.28361984,-5.801197877,140
-78.8266809,-5.384576097,141
-78.68191279,-5.682662305,142
-78.78328219,-5.580630411,143
-78.78384967,-5.578373079,144
-79.86434218,-6.476749001,146
-79.83781312,-6.504461847,147
-79.84521568,-6.723309128,148
-79.88439471,-6.765291891,149
-79.88843009,-6.753672421,150
-79.89379719,-6.777077214,151
-79.83719319,-6.502366198,152
-79.84918702,-6.52578794,153
-79.848952,-6.508557849,154
-79.76747554,-6.757810634,155
-79.88373823,-6.752362263,156
-79.86923587,-6.467953459,157
-79.84719783,-6.728519089,158
-79.82013736,-6.710676731,159
-79.82714094,-6.701444131,160
-79.80522461,-6.702346521,161
-79.81128607,-6.705681685,162
-79.78449617,-6.686232121,163
-79.81439006,-6.708631236,164
-79.85842824,-6.635996131,165
-79.80418894,-6.709348808,166
-79.65401977,-6.477937296,167
-79.72388193,-6.628009343,168
-79.7724051,-6.581920438,169
-79.78594288,-6.687237767,170
-79.80377823,-6.644535609,171
-79.84201547,-6.661990759,172
-79.82619982,-6.660294391,173
-79.81159352,-6.653949445,174
-79.85352684,-6.518809033,175
-79.85821199,-6.659511809,176
-79.82605062,-6.660113898,177
-79.80878625,-6.61979396,178
-79.73684169,-6.637260977,179
-79.81611941,-6.64803235,180
-79.89015341,-6.791225681,181
-79.85077489,-6.670995328,182
-79.85101227,-6.669157464,183
-79.86288775,-6.668453152,184
-79.83822383,-6.664306854,185
-79.93117746,-6.713818046,186
-79.86152116,-6.678198199,187
-79.9250761,-6.712453171,188
-79.88013402,-6.723943437,189
-79.98678636,-6.531435683,190
-79.86608997,-6.680595469,191
-79.92175452,-6.709619188,192
-80.03868174,-6.54666212,193
-79.98880807,-6.528480077,194
-79.86207671,-6.673354338,195
-79.96546917,-6.547225042,196
-79.8660598,-6.685371992,197
-79.8399562,-6.66572914,198
-79.89275079,-6.775563363,199
-79.84910153,-6.732198693,200
-79.84220758,-6.737440189,201
-79.77194745,-6.759724076,202
-79.83969435,-6.503802606,203
-79.88572776,-6.755546924,204
-79.82826579,-6.716199491,205
-79.83216841,-6.700157807,206
-79.8177522,-6.657080135,207
-79.87177659,-6.472358245,208
-79.84185286,-6.661673065,209
-79.80881475,-6.642641032,210
-79.85717464,-6.674329708,211
-79.8540093,-6.663053067,212
-79.89420287,-6.778937976,213
-79.86522261,-6.668049547,214
-79.84443683,-6.505354603,215
-79.8200522,-6.65853308,216
-79.88842171,-6.772941829,217
-79.87584148,-6.474045259,218
-79.87652779,-6.747292066,219
-79.76962969,-6.763740713,220
-79.86477837,-6.683862184,221
-79.85950515,-6.672812539,222
-79.87683222,-6.468814631,223
-79.8738372,-6.752770127,224
-79.80917282,-6.609537195,225
-79.76979733,-6.762709588,226
-79.85111956,-6.66895666,227
-79.8895878,-6.756226804,228
-79.85722225,-6.52081734,229
-79.84599486,-6.505538483,230
-79.92492188,-6.704558867,231
-79.84647933,-6.664543291,232
-79.86333903,-6.664257901,233
-79.89398193,-6.779870851,234
-79.78083562,-6.591654539,235
-79.89454083,-6.775694539,236
-79.89128932,-6.775996178,237
-79.88056954,-6.46540425,238
-79.7874999,-6.685096271,239
-79.83908281,-6.503459494,240
-79.84957226,-6.524013492,241
-79.85769197,-6.661917496,242
-76.47328288,-7.05735724,243
-76.33435512,-6.8200003,244
-76.50652783,-7.1935675,245
-76.51380114,-7.00757458,246
-76.65897904,-7.15163885,247
-76.65686201,-7.14514341,248
-76.46313602,-7.07432477,249
-76.48278117,-7.09638843,250
-76.48970451,-7.10294,251
-76.64438694,-7.1511168,252
-76.50533993,-7.20469067,253
-76.49495991,-7.20177553,254
-76.53427666,-7.0040045,255
-76.50543541,-7.11355739,256
-76.51030186,-7.11816164,257
-76.48438156,-7.09803595,258
-76.48360116,-7.22226518,259
-76.47929107,-7.23023213,260
-76.51377072,-7.1638781,261
-76.65474887,-7.14380286,262
-76.56398354,-7.04195146,263
-76.51513223,-7.00475986,264
-76.4869893,-7.21617969,265
-76.44922565,-6.98826127,266
-76.51459816,-7.16168432,267
-76.49864066,-7.03578196,268
-76.3269787,-6.82191042,269
-76.45236523,-6.98494155,270
-76.52997416,-7.04864209,271
-76.48338885,-7.09733763,272
-76.58361566,-7.06528833,273
-76.54243685,-6.9322952,274
-76.47570974,-7.23674878,275
-76.50440715,-7.18339845,276
-76.47741876,-7.23694469,277
-76.25609607,-6.94758246,278
-76.26127472,-6.96623533,279
-76.26086083,-6.96465898,280
-76.25762478,-6.95304957,281
-76.2601865,-6.96226886,282
-76.46975784,-7.2460698,283
-76.49615764,-7.17326545,284
-76.25899166,-6.95795725,285
-76.4678499,-7.26240698,286
-76.2595933,-6.96009067,287
-76.25821514,-6.95516448,288
-76.25516762,-6.94420076,289
