longitude,latitude,id
-101.627191,20.464602,1
-101.690088,20.630722,2
-101.645524,20.66124,3
-101.907055,20.930758,4
-101.66,20.4137,5
-101.602117,20.756381,6
-101.610797,20.728331,7
-101.633403,20.724047,8
-101.608572,20.725725,9
-101.630459,20.40924,10
-101.615642,20.372832,11
-101.678161,20.406791,12
